STRING ID,ENGLISH,SIMPLIFIED CHINESE / 简体中文,RUSSIAN / РУССКИЙ,SPANISH / ESPAÑOL,PORTUGUESE / PORTUGUÊS (BR),GERMAN / DEUTSCH,KOREAN / 한국어,JAPANESE / 日本語,FRENCH / FRANÇAIS,POLISH / POLSKI,TRADITIONAL CHINESE / 繁体中文,TURKISH / TÜRKÇE
CONTEXT_ITEM_BOOK,Book,书,Книга,Libro,Livro,Buch,책,本,Livre,Książka,書,Kitap
CONTEXT_ITEM_BOOTS,Boots,靴,Ботинки,Botas,Botas,Stiefel,신발,靴,Bottes,Buty,靴,Bot
CONTEXT_ITEM_BOW,Bow,弓,Лук,Arco,Arco,Bogen,활,弓,Arc,Łuk,弓,Yay
CONTEXT_ITEM_CARD,Card,卡片,Карта,Carta,Carta,Karte,카드,カード,Carte,Karta,卡片,Kart
CONTEXT_ITEM_CARD_PLURAL,Cards,卡片,Карты,Cartas,Cartas,Karten,카드,カード,Cartes,Karty,卡片,Kartlar
CONTEXT_ITEM_CHEST,Chest,箱,Сундук,Cofre,Baú,Truhe,상자,箱,Coffre,Skrzynia,箱,Sandık
CONTEXT_ITEM_COND_MAGICAL,Magic,魔法的,Магический,Mágico,Mágico,Magischer,마법,魔法の,Magique,Magiczny,魔法的,Büyülü
CONTEXT_ITEM_COND_RUSTY,Rusty,生锈的,Ржавый,Oxidado,Enferrujado,Rostig,녹슨,錆びた,Rouillé,Zardzewiały,生銹的,Paslı
CONTEXT_ITEM_DAGGER,Dagger,短剑,Кинжал,Daga,Adaga,Dolch,단검,短刀,Dague,Sztylet,短劍,Hançer
CONTEXT_ITEM_DIE_NOUN,Die,骰子,Кубик,Dado,Dado,Würfel,주사위,サイコロ,Dé,Kość,骰子,Zar
CONTEXT_ITEM_DIE_PLURAL,Dice,骰子,Кубика,Dados,Dados,Würfel,주사위,サイコロ,Dés,Kości,骰子,Zarlar
CONTEXT_ITEM_DOOR,Door,门,Дверь,Puerta,Porta,Tür,문,扉,Porte,Drzwi,門,Kapı
CONTEXT_ITEM_GAUNTLETS,Gauntlets,铁手套,Рукавицы,Guanteletes,Manopla,Panzerhandschuh,건틀릿,籠手,Gantelets,Rękawica,鐵手套,Zırh Eldiveni
CONTEXT_ITEM_GEM,Gem,宝石,Самоцвет,Gema,Jóia,Juwel,보석,ジェム,Gemme,Klejnot,寶石,Mücevher
CONTEXT_ITEM_GIFT_NOUN,Gift,赠品,Подарок,Regalo,Presente,Geschenk,선물,ギフト,Cadeau,Prezent,贈品,Hediye
CONTEXT_ITEM_GIFT_PLURAL,Gifts,赠品,Подарки,Regalos,Presentes,Geschenke,선물,ギフト,Cadeaux,Prezenty,贈品,Hediyeler
CONTEXT_ITEM_GLOVE,Gloves,手套,Перчатки,Guantes,Luvas,Handschuhe,장갑,手袋,Gants,Rękawiczki,手套,Eldiven
CONTEXT_ITEM_GUN,Gun,枪,Огнестрельное оружие,Arma,Arma de fogo,Pistole,총,銃,Arme,Broń,槍,Siah
CONTEXT_ITEM_HAMMER,Hammer,铁锤,Молот,Mazo,Martelo,Hammer,망치,戦鎚,Marteau,Młot,鐵錘,Çekiç
CONTEXT_ITEM_HELMET,Helmet,钢盔,Шлем,Casco,Elmo,Helm,투구,兜,Heaume,Hełm,鋼盔,Kafalık
CONTEXT_ITEM_KEY,Key,钥匙,Ключ,Llave,Chave,Schlüssel,열쇠,鍵,Clé,Klucz,鑰匙,Anahtar
CONTEXT_ITEM_KNIFE,Knife,小刀,Нож,Cuchillo,Faca,Messer,칼,ナイフ,Couteau,Nóż,小刀,Bıçak
CONTEXT_ITEM_LOCK,Lock,锁,Замок,Cerradura,Fechadura,Schloss,자물쇠,鍵,Verrou,Zamek,鎖,Kilit
CONTEXT_ITEM_LOVE,Love,爱,Любовь,Amor,Amor,Liebe,사랑,愛,Amour,Miłość,愛,Aşk
CONTEXT_ITEM_MACHINE_ITEM_GUN,Machine Gun,机关枪,Пулемёт,Ametralladora,Metralhadora,Maschinengewehr,기관총,マシンガン,Mitraillette,Karabin Maszynowy,機關槍,Makineli Tüfek
CONTEXT_ITEM_MAGIC,Magic,魔法,Магия,Magia,Magia,Magie,마법,魔法,Magie,Magia,魔法,Büyü
CONTEXT_ITEM_PISTOL,Pistol,手枪,Пистолет,Pistola,Pistola,Pistole,권총,ピストル,Pistolet,Pistolet,手槍,Tabanca
CONTEXT_ITEM_QUEST_NOUN,Quest,任务,Задание,Misión,Missão,Auftrag,퀘스트,クエスト,Quête,Wyprawa,任务,Görev
CONTEXT_ITEM_RANK_NOUN,Rank,行列,Ранг,Rango,Patente,Platz,계급,ランク,Rang,Ranga,軍階,Sıra
CONTEXT_ITEM_RIFLE,Rifle,步枪,Винтовка,Rifle,Rifle,Gewehr,소총,ライフル,Fusil,Karabin,步槍,Tüfek
CONTEXT_ITEM_ROCKET_ITEM_LAUNCHER,Rocket Launcher,火箭炮,Ракетница,Lanzacohetes,Lança-Foguetes,Raketenwerfer,로켓 런처,ロケットランチャー,Lance-roquette,Wyrzutnia Rakiet,火箭炮,Roketatar
CONTEXT_ITEM_RPG,RPG,RPG,РПГ,Lanzagranadas,RPG,Raketenwerfer,RPG,RPG,LRAC,RPG,RPG,Roketatar
CONTEXT_ITEM_SCROLL,Scroll,卷,Свиток,Pergamino,Pergaminho,Schriftrolle,두루마리,巻物,Parchemin,Zwój,卷,Parşömen
CONTEXT_ITEM_SHIELD,Shield,盾,Щит,Escudo,Escudo,Schild,방패,盾,Bouclier,Tarcza,盾,Kalkan
CONTEXT_ITEM_SHIELD_PLURAL,Shields,盾,Щиты,Escudos,Escudos,Schilder,방패,盾,Boucliers,Tarcze,盾,Kalkanlar
CONTEXT_ITEM_SHIELD_SCIFI,Energy shield,能量罩,Энергетический щит,Escudo de energía,Escudo de energia,Schutzschild,에너지 방어막,エネルギーシールド,Bouclier,Pole siłowe,能量罩,Enerji Kalkanı
CONTEXT_ITEM_SHIELD_SCIFI_PLURAL,Energy shields,能量罩,Энергетичкеские щиты,Escudos de energía,Escudos de energia,Schutzschilde,에너지 방어막,エネルギーシールド,Boucliers,Pola siłowe,能量罩,Enerji Kalkanları
CONTEXT_ITEM_SHOTGUN,Shotgun,散弹枪,Дробовик,Escopeta,Espingarda,Schrotflinte,산탄총,ショットガン,Fusil à pompe,Strzelba,散彈槍,Av Tüfeği
CONTEXT_ITEM_SNIPER_ITEM_RIFLE,Sniper rifle,狙击步枪,Снайперская винтовка,Rifle francotirador,Rifle furtivo,Scharfschützengewehr,저격총,スナイパーライフル,Fusil de sniper,Karabin Snajperski,狙擊步槍,Dürbünlü Tüfek
CONTEXT_ITEM_SPELL,Spell,咒语,Заклинание,Hechizo,Feitiço,Zauberspruch,주문,呪文,Sort,Zaklęcie,咒語,Büyü
CONTEXT_ITEM_STAFF,Staff,杖,Посох,Bastón,Cajado,Gehstock,봉,杖,Bâton,Laska,杖,Baston
CONTEXT_ITEM_SWORD,Sword,剑,Меч,Espada,Espada,Schwert,검,剣,Épée,Miecz,劍,Kılıç
CONTEXT_ITEM_TREASURE,Treasure,财宝,Сокровище,Tesoro,Tesouro,Schatz,보물,財宝,Trésor,Skarb,財寶,Hazine
CONTEXT_ITEM_TYPE_EPIC,Epic,史诗的,Эпичный,Épico,Épico,Epischer,뛰어난,壮麗な,Épique,Epicki,特級的,Epik
CONTEXT_ITEM_TYPE_JUNK,Junk,废物,Мусорный,Basura,Lixo,Schrott,저질,がらくたの,Bazar,Śmieć,沒用的,Çöp
CONTEXT_ITEM_WAND,Wand,魔杖,Волшебная палочка,Varita,Varinha Mágica,Stab,마법봉,魔法の杖,Baguette,Różdżka,魔杖,Değnek
CONTEXT_ITEM_WOOD,Wood,木,Дерево,Madera,Madeira,Holz,목재,木,Bois,Drewno,木,Tahta
CONTEXT_MACHINE_ALTITUDE,Altitude,高度,Высота,Altitud,Altitude,Höhe,고도,高度,Altitude,Wysokość,高度,Yükseklik
CONTEXT_MACHINE_BRAKES,Brakes,煞车闸,Тормоза,Frenos,Freios,Bremsen,브레이크,ブレーキ,Freins,Hamulce,煞車閘,Fren
CONTEXT_MACHINE_CHASSIS,Chassis,马车,Шасси,Chasis,Chassi,Chassis,섀시,シャシ,Chassis,Podwozie,馬車,Şasi
CONTEXT_MACHINE_DEPTH,Depth,深度,Глубина,Profundidad,Profundidade,Tiefe,깊이,深度,Profondeur,Głębokość,深度,Derinlik
CONTEXT_MACHINE_FUEL,Fuel,燃料,Топливо,Combustible,Combustível,Kraftstoff,연료,燃料,Carburant,Paliwo,燃料,Yakıt
CONTEXT_MACHINE_GEAR,Gear,档,Передача,Caja de cambios,Marcha,Gang,변속기,ギア,Transmission,Zębatka,檔,Dişli
CONTEXT_MACHINE_HANDLING,Handling,操纵,Манёвренность,Manejo,Manejo,Handling,핸들링,ハンドリング,Tenue de route,Zwrotność,操縱,Yol Tutuşu
CONTEXT_MACHINE_SPEED,Speed,速度,Скорость,Velocidad,Velocidade,Geschwindigkeit,속도,速度,Vitesse,Prędkość,速度,Hız
CONTEXT_MACHINE_STEERING,Steering,转向,Отзывчивость руля,Volante,Condução,Lenkung,핸들 반응,ステアリング,Volant,Sterowanie,轉向,Direksiyon Hakimiyeti
CONTEXT_MACHINE_SUSPENSION,Suspension,悬挂,Подвеска,Suspensión,Suspensão,Übersetzung,서스펜션,サスペンション,Suspension,Zawieszenie,懸挂,Süspansiyon
CONTEXT_MACHINE_WHEELS,Wheels,轮子,Колёса,Ruedas,Rodas,Räder,바퀴,乗り物,Roues,Koła,輪,Tekerler
CONTEXT_MACHINE_WINGS,Wings,机翼,Крылья,Alas,Asas,Flügel,날개,ウィング,Ailes,Skrzydła,翼,Kanatlar
CONTEXT_MEDAL,Medal,徽章,Медаль,Medalla,Medalha,Medallie,메달,メダル,Médaille,Medal,徽章,Madalya
CONTEXT_MEDAL_BRONZE,Bronze medal,铜徽章,Бронзовая медаль,Medalla de bronce,Medalha de Bronze,Bronzemedallie,동메달,ブロンズメダル,Médaille de bronze,Brązowy medal,銅徽章,Bronz madalya
CONTEXT_MEDAL_GOLD,Gold medal,金徽章,Золотая медаль,Medalla de oro,Medalha de Ouro,Goldmedallie,금메달,ゴールドメダル,Médaille d'or,Złoty medal,金徽章,Altın madalya
CONTEXT_MEDAL_SILVER,Silver medal,银徽章,Серебряная медаль,Medalla de plata,Medalha de Prata,Silbermedallie,은메달,シルバーメダル,Médaille d'argent,Srebrny medal,銀徽章,Hümüş madalya
CONTEXT_METAL_BRONZE,Bronze,銅,Бронза,Bronce,Bronze,Bronze,동,銅,Bronze,Brąz,青铜,Bronz
CONTEXT_METAL_COIN,Coin,硬币,Монета,Moneda,Moeda,Münze,동전,硬貨,Pièce,Moneta,硬幣,Para
CONTEXT_METAL_GOLD,Gold,金,Золото,Oro,Ouro,Gold,금,金,Or,Złoto,金,Altın
CONTEXT_METAL_INGOT,Ingot,铁块,Слиток,Lingote,Barra,Barren,주괴,延べ棒,Lingot,Sztabka,金屬塊,Külçe
CONTEXT_METAL_PLATINUM,Platinum,白金,Платина,Platino,Platina,Platin,백금,白金,Platine,Platyna,白金,Platin
CONTEXT_METAL_SILVER,Silver,銀,Серебро,Plata,Prata,Silber,은,銀,Argent,Srebro,銀,Gümüş
CONTEXT_PLACE_CASTLE,Castle,城,Замок,Castillo,Castelo,Schloss,성,城,Château,Zamek,城堡,Kale
CONTEXT_PLACE_CAVE,Cave,洞穴,Пещера,Cueva,Gruta,Höhle,동굴,洞窟,Caverne,Jaskinia,洞穴,Mağara
CONTEXT_PLACE_DUNGEON,Dungeon,地下城,Подземелье,Calabozo,Masmorra,Kerker,던전,ダンジョン,Donjon,Loch,地下城,Zindan
CONTEXT_PLACE_INN,Inn,客栈,Постоялый двор,Posada,Albergue,Herberge,여관,宿,Auberge,Zajazd,客棧,Han
CONTEXT_PLACE_PLANET,Planet,行星,Планета,Planeta,Planeta,Planet,행성,惑星,Planète,Planeta,行星,Gezegen
CONTEXT_PLACE_PLANET_EARTH,Earth,地球,Земля,Tierra,Terra,Erde,지구,地球,Planète Terre,Ziemia,地球,Dünya
CONTEXT_PLACE_SPACE,Space,太空,Космос,Espacio,Espaço,Raum,우주,宇宙,Espace,Kosmos,太空,Uzay
CONTEXT_PLACE_SPACESHIP,Spaceship,太空船,Космический корабль,Nave espacial,Nave espacial,Raumschiff,우주선,宇宙船,Vaisseau spatial,Statek kosmiczny,太空船,Uzay Gemisi
CONTEXT_STORY,Story,故事,История,Historia,História,Geschichte,이야기,ストーリー,Histoire,Historia,故事,Hikaye
CONTEXT_STORY_ADVENTURE,Adventure,冒险,Приключение,Aventura,Aventura,Abenteuer,모험,アドベンチャー,Aventure,Przygoda,冒險,Macera
CONTEXT_STORY_CHAPTER,Chapter,章,Глава,Capítulo,Capítulo,Kapitel,장,チャプター,Chapitre,Rozdział,章,Bölüm
CONTEXT_STORY_PAGE,Page,页,Страница,Página,Página,Seite,쪽,ページ,Page,Strona,頁,Sayfa
CREDITS_GAME,Game,游戏,Игра,Juego,Jogo,Spiel,게임,ゲーム,Jeu,Gra,游戲,Oyun
CREDITS_GAME_DEVELOPMENT,Game development,游戏开发 ,Разработка игры,Desarrollo de juegos,Desenvolvimento do jogo,Spielentwicklung,게임 개발,ゲーム開発,Développement de jeu,Tworzenie gry,游戲開發,Oyun Geliştirme
CREDITS_GAME_DEVELOPER,Game developer,游戏开发者  ,Игровой разработчик,Desarrollador de juegos,Desenvolvedor de jogo,Spielentwickler,게임 개발자,ゲーム開発者,Développeur de jeu,Twórca gry,遊戲開發者,Oyun Geliştirici
CREDITS_DEVELOPED_BY,Developed by,游戏开发由  ,Разработано,Desarrollado por,Desenvolvido por,Entwickelt von,개발자,開発,Développé par,Stworzono przez,游戲開發由,Geliştiren
CREDITS_PRODUCTION,Production,制作  ,Производство,Producción,Produção,Produktion,제작,製作,Production,Produkcja,制作,Prodüksiyon
CREDITS_PRODUCER,Producer,监制  ,Продюсер,Productor,Produtor,Produzent,제작자,プロデューサー,Producteur,Producent,監制,Yapımcı
CREDITS_PUBLISHER,Publisher,出版商,Издатель,Editor,Publicadora,Publisher,배급,著作,Éditeur,Wydawca,出版商,Yayıncı
CREDITS_DIRECTOR,Director,总监,Режиссёр,Director,Diretor,Regisseur,감독,監督,Directeur,Kierownik projektu,導演,Yönetmen
CREDITS_LEAD,Lead,领导,Руководитель,Jefe,Líder,Chef,총책임자,リード,Chef,Główny,領頭,Baş
CREDITS_ASSISTANT,Assistant,助理  ,Заместитель,Asistente,Assistente,Assistenz,보조,アシスタント,Assistant,Asystent,助理,Asistan
CREDITS_ASSOCIATE,Associate,副,Партнёр,Asociado,Associado,Mitarbeiter,협력,協力,Associé,Współpracownik,副,Yardımcı
CREDITS_SENIOR,Senior,高级,Старший,Senior,Sênior,Senior,시니어,シニア,Senior,Starszy,高級,Kıdemli
CREDITS_JUNIOR,Junior,初级,Младший,Junior,Júnior,Junior,주니어,ジュニア,Junior,Młodszy,初級,Kıdemsiz
CREDITS_CHIEF_TECH_OFFICER,Chief Technical Officer,首席技术官,Главный технический директор,Director de tecnología,Diretor-Chefe de Tecnologia,Technischer Direktor,최고 기술 책임자,最高技術責任者,Directeur de la technologie,Dyrektor działu technicznego,首席技術官,Teknoloji Yöneticisi
CREDITS_TECHNICAL_DIRECTOR,Technical Director,技术主任 ,Технический директор,Director técnico,Diretor Técnico,Technischer Direktor,기술 감독,技術監督,Directeur Technique,Dyrektor techniczny,技術主任,Teknik Yönetici
CREDITS_CREATIVE_DIRECTOR,Creative Director,创意总监,Креативный директор,Director creativo,Diretor Criativo,Kreativdirektor,크리에이티브 감독,クリエイティブディレクター,Directeur Créatif,Dyrektor kreatywny,創意總監,Yaratıcı Yönetmen
CREDITS_ANIMATION_DIRECTOR,Animation Director,动画总监,Режиссёр анимации,Director de animación,Diretor de Animação,Animationsdirektor,애니메이션 감독,アニメーション監督,Directeur d'Animation,Dyrektor animacji,動畫總監,Animasyon Yönetmeni
CREDITS_ART_DIRECTOR,Art Director,美术总监 ,Арт-директор,Director artístico,Diretor de Arte,Kunstdirektor,아트 감독,美術監督,Directeur Artistique,Dyrektor artystyczny,美術總監,Sanat Yönetmeni
CREDITS_AUDIO_DIRECTOR,Audio Director,音乐总监 ,Аудио-директор,Director de sonido,Diretor de Som,Audiodirektor,오디오 감독,音響監督,Directeur Sonore,Dyrektor udźwiękowienia,音樂總監,Ses Yönetmeni
